bike_id,brand_id,name,year,month,month_date,units_sold,quarter,is_festive,is_covid
BK001,BR01,Hero Splendor Plus,2019,1,2019-01-01,307450,Q1,False,False
BK001,BR01,Hero Splendor Plus,2019,2,2019-02-01,297926,Q1,False,False
BK001,BR01,Hero Splendor Plus,2019,3,2019-03-01,309715,Q1,False,False
BK001,BR01,Hero Splendor Plus,2019,4,2019-04-01,322845,Q2,False,False
BK001,BR01,Hero Splendor Plus,2019,5,2019-05-01,296487,Q2,False,False
BK001,BR01,Hero Splendor Plus,2019,6,2019-06-01,296487,Q2,False,False
BK001,BR01,Hero Splendor Plus,2019,7,2019-07-01,323688,Q3,False,False
BK001,BR01,Hero Splendor Plus,2019,8,2019-08-01,311511,Q3,False,False
BK001,BR01,Hero Splendor Plus,2019,9,2019-09-01,366197,Q3,True,False
BK001,BR01,Hero Splendor Plus,2019,10,2019-10-01,385173,Q4,True,False
BK001,BR01,Hero Splendor Plus,2019,11,2019-11-01,366310,Q4,True,False
BK001,BR01,Hero Splendor Plus,2019,12,2019-12-01,293014,Q4,False,False
BK001,BR01,Hero Splendor Plus,2020,1,2020-01-01,315774,Q1,False,False
BK001,BR01,Hero Splendor Plus,2020,2,2020-02-01,282152,Q1,False,False
BK001,BR01,Hero Splendor Plus,2020,3,2020-03-01,114036,Q1,False,True
BK001,BR01,Hero Splendor Plus,2020,4,2020-04-01,9096,Q2,False,True
BK001,BR01,Hero Splendor Plus,2020,5,2020-05-01,44429,Q2,False,True
BK001,BR01,Hero Splendor Plus,2020,6,2020-06-01,205986,Q2,False,True
BK001,BR01,Hero Splendor Plus,2020,7,2020-07-01,297834,Q3,False,False
BK001,BR01,Hero Splendor Plus,2020,8,2020-08-01,289968,Q3,False,False
BK001,BR01,Hero Splendor Plus,2020,9,2020-09-01,418580,Q3,True,False
BK001,BR01,Hero Splendor Plus,2020,10,2020-10-01,385597,Q4,True,False
BK001,BR01,Hero Splendor Plus,2020,11,2020-11-01,391316,Q4,True,False
BK001,BR01,Hero Splendor Plus,2020,12,2020-12-01,289773,Q4,False,False
BK001,BR01,Hero Splendor Plus,2021,1,2021-01-01,315180,Q1,False,False
BK001,BR01,Hero Splendor Plus,2021,2,2021-02-01,325796,Q1,False,False
BK001,BR01,Hero Splendor Plus,2021,3,2021-03-01,305353,Q1,False,False
BK001,BR01,Hero Splendor Plus,2021,4,2021-04-01,92424,Q2,False,True
BK001,BR01,Hero Splendor Plus,2021,5,2021-05-01,109994,Q2,False,True
BK001,BR01,Hero Splendor Plus,2021,6,2021-06-01,319274,Q2,False,False
BK001,BR01,Hero Splendor Plus,2021,7,2021-07-01,314252,Q3,False,False
BK001,BR01,Hero Splendor Plus,2021,8,2021-08-01,354006,Q3,False,False
BK001,BR01,Hero Splendor Plus,2021,9,2021-09-01,404726,Q3,True,False
BK001,BR01,Hero Splendor Plus,2021,10,2021-10-01,383581,Q4,True,False
BK001,BR01,Hero Splendor Plus,2021,11,2021-11-01,421656,Q4,True,False
BK001,BR01,Hero Splendor Plus,2021,12,2021-12-01,304222,Q4,False,False
BK001,BR01,Hero Splendor Plus,2022,1,2022-01-01,339508,Q1,False,False
BK001,BR01,Hero Splendor Plus,2022,2,2022-02-01,303077,Q1,False,False
BK001,BR01,Hero Splendor Plus,2022,3,2022-03-01,313686,Q1,False,False
BK001,BR01,Hero Splendor Plus,2022,4,2022-04-01,339307,Q2,False,False
BK001,BR01,Hero Splendor Plus,2022,5,2022-05-01,348406,Q2,False,False
BK001,BR01,Hero Splendor Plus,2022,6,2022-06-01,338878,Q2,False,False
BK001,BR01,Hero Splendor Plus,2022,7,2022-07-01,334057,Q3,False,False
BK001,BR01,Hero Splendor Plus,2022,8,2022-08-01,330941,Q3,False,False
BK001,BR01,Hero Splendor Plus,2022,9,2022-09-01,388951,Q3,True,False
BK001,BR01,Hero Splendor Plus,2022,10,2022-10-01,404883,Q4,True,False
