bike_id,brand_id,name,year,month,month_date,units_sold
BK001,BR01,Hero Splendor Plus,2019,1,2019-01,307450
BK001,BR01,Hero Splendor Plus,2019,2,2019-02,297926
BK001,BR01,Hero Splendor Plus,2019,3,2019-03,309715
BK001,BR01,Hero Splendor Plus,2019,4,2019-04,322845
BK001,BR01,Hero Splendor Plus,2019,5,2019-05,296487
BK001,BR01,Hero Splendor Plus,2019,6,2019-06,296487
BK001,BR01,Hero Splendor Plus,2019,7,2019-07,323688
BK001,BR01,Hero Splendor Plus,2019,8,2019-08,311511
BK001,BR01,Hero Splendor Plus,2019,9,2019-09,366197
BK001,BR01,Hero Splendor Plus,2019,10,2019-10,385173
BK001,BR01,Hero Splendor Plus,2019,11,2019-11,366310
BK001,BR01,Hero Splendor Plus,2019,12,2019-12,293014
BK001,BR01,Hero Splendor Plus,2020,1,2020-01,315774
BK001,BR01,Hero Splendor Plus,2020,2,2020-02,282152
BK001,BR01,Hero Splendor Plus,2020,3,2020-03,114036
BK001,BR01,Hero Splendor Plus,2020,4,2020-04,9096
BK001,BR01,Hero Splendor Plus,2020,5,2020-05,44429
BK001,BR01,Hero Splendor Plus,2020,6,2020-06,205986
BK001,BR01,Hero Splendor Plus,2020,7,2020-07,297834
BK001,BR01,Hero Splendor Plus,2020,8,2020-08,289968
BK001,BR01,Hero Splendor Plus,2020,9,2020-09,418580
BK001,BR01,Hero Splendor Plus,2020,10,2020-10,385597
BK001,BR01,Hero Splendor Plus,2020,11,2020-11,391316
BK001,BR01,Hero Splendor Plus,2020,12,2020-12,289773
BK001,BR01,Hero Splendor Plus,2021,1,2021-01,315180
BK001,BR01,Hero Splendor Plus,2021,2,2021-02,325796
BK001,BR01,Hero Splendor Plus,2021,3,2021-03,305353
BK001,BR01,Hero Splendor Plus,2021,4,2021-04,92424
BK001,BR01,Hero Splendor Plus,2021,5,2021-05,109994
BK001,BR01,Hero Splendor Plus,2021,6,2021-06,319274
BK001,BR01,Hero Splendor Plus,2021,7,2021-07,314252
BK001,BR01,Hero Splendor Plus,2021,8,2021-08,354006
BK001,BR01,Hero Splendor Plus,2021,9,2021-09,404726
BK001,BR01,Hero Splendor Plus,2021,10,2021-10,383581
BK001,BR01,Hero Splendor Plus,2021,11,2021-11,421656
BK001,BR01,Hero Splendor Plus,2021,12,2021-12,304222
BK001,BR01,Hero Splendor Plus,2022,1,2022-01,339508
BK001,BR01,Hero Splendor Plus,2022,2,2022-02,303077
BK001,BR01,Hero Splendor Plus,2022,3,2022-03,313686
BK001,BR01,Hero Splendor Plus,2022,4,2022-04,339307
BK001,BR01,Hero Splendor Plus,2022,5,2022-05,348406
BK001,BR01,Hero Splendor Plus,2022,6,2022-06,338878
BK001,BR01,Hero Splendor Plus,2022,7,2022-07,334057
BK001,BR01,Hero Splendor Plus,2022,8,2022-08,330941
BK001,BR01,Hero Splendor Plus,2022,9,2022-09,388951
BK001,BR01,Hero Splendor Plus,2022,10,2022-10,404883
BK001,BR01,Hero Splendor Plus,2022,11,2022-11,410326
BK001,BR01,Hero Splendor Plus,2022,12,2022-12,353759
BK001,BR01,Hero Splendor Plus,2023,1,2023-01,353978
